location,country_region,administrative_area,role___impact,notes
Langtang Lirung,Nepal,Langtang / Himalayas,Suspected glacier collapse site,Article discusses glacier collapse near the mountain
Gyirong Port / Rasuwagadhi,China/Nepal border,Gyirong County / Rasuwa,Major border crossing hit by flood,Flood destroyed the crossing
Dhunche,Nepal,Rasuwa District,Affected settlement,District headquarters
Bidur,Nepal,Nuwakot District,Affected area / rescue staging ground,Primary staging ground for army search and rescue
Syafrubesi,Nepal,Rasuwa District,Affected settlement / road corridor,Connected to Rasuwagadhi
Trishuli Bazar,Nepal,Nuwakot District,Affected settlement,Bridge connected to Trishuli Bazar was swept away
Malekhu,Nepal,Dhading District,Downstream location,Along the Trishuli system
Devghat,Nepal,Chitwan/Gandaki area,River confluence,Trishuli joins the Gandaki
Bharatpur,Nepal,Chitwan District,Downstream area,Located on Gandaki/Narayani River
Bagaha,India,Bihar,Downstream reference location,Shown in article river map
Kushinagar,India,Uttar Pradesh,Body recovery area,Some victims' bodies were recovered downstream
Maharajganj,India,Uttar Pradesh,Body recovery area,Some victims' bodies were recovered downstream
