source,table,geography,metric,value_text,value_num,unit,as_of_date,notes
source_1,event_summary,Nepal-Tibet,Event,2026 Nepal-Tibet floods,,Not reported,,Wikipedia article provided by user
source_1,event_summary,Nepal-Tibet,Start date,2026-08-26,,Not reported,,Article states 26 August 2026 - present
source_1,event_summary,Nepal-Tibet,Primary affected countries/regions,"Nepal and Tibet Autonomous Region, China",,Not reported,,Article lead
source_1,event_summary,Nepal-Tibet,Nepal districts affected,Rasuwa; Nuwakot; Dhading; Gorkha; Chitwan,,Not reported,,Article damage/warnings sections
source_1,event_summary,Nepal-Tibet,Main river system,Trishuli River / Lhende Khola system,,Not reported,,Article background
source_1,event_summary,Nepal-Tibet,Event type,Flash floods / debris flows,,Not reported,,Article lead
source_1,event_summary,Nepal-Tibet,Suspected proximate cause,Glacier collapse / ice avalanche near Langtang Lirung,,Not reported,,Article says cause was under investigation in lead; later section says glacier collapse widely thought to be proximate cause
source_1,event_summary,Nepal-Tibet,Deaths - Nepal,1410,1410.0,Not reported,,As of 2026-09-18
source_1,event_summary,Nepal-Tibet,Injuries - Nepal,9287,9287.0,Not reported,,Article casualty section
source_1,event_summary,Nepal-Tibet,Missing - Nepal,6145,6145.0,Not reported,,As of 2026-09-18
source_1,event_summary,Nepal-Tibet,Deaths - Tibet/China,43,43.0,Not reported,,As of 2026-09-16
source_1,event_summary,Nepal-Tibet,Missing - Tibet/China,519,519.0,Not reported,,As of 2026-09-16
source_1,event_summary,Nepal-Tibet,Total deaths,1453,1453.0,Not reported,,Approximate; Nepal + China/Tibet
source_1,event_summary,Nepal-Tibet,Total missing,6664,6664.0,Not reported,,Approximate; Nepal + China/Tibet
source_1,event_summary,Nepal-Tibet,People affected in Nepal,1600000,1600000.0,Not reported,,Nearly 1.6 million; NDRRMA estimate
source_1,event_summary,Nepal-Tibet,Houses destroyed in Nepal,8317,8317.0,Not reported,,Article damage section
source_1,event_summary,Nepal-Tibet,Agricultural land damaged (ha),1806,1806.0,Not reported,,Article damage section
