field,value,source___note
Event,2026 Nepal–Tibet floods,Wikipedia article provided by user
Start date,2026-08-26,Article states 26 August 2026 – present
Primary affected countries/regions,"Nepal and Tibet Autonomous Region, China",Article lead
Nepal districts affected,Rasuwa; Nuwakot; Dhading; Gorkha; Chitwan,Article damage/warnings sections
Main river system,Trishuli River / Lhende Khola system,Article background
Event type,Flash floods / debris flows,Article lead
Suspected proximate cause,Glacier collapse / ice avalanche near Langtang Lirung,Article says cause was under investigation in lead; later section says glacier collapse widely thought to be proximate cause
Deaths – Nepal,1410,As of 2026-09-18
Injuries – Nepal,9287,Article casualty section
Missing – Nepal,6145,As of 2026-09-18
Deaths – Tibet/China,43,As of 2026-09-16
Missing – Tibet/China,519,As of 2026-09-16
Total deaths,1453,Approximate; Nepal + China/Tibet
Total missing,6664,Approximate; Nepal + China/Tibet
People affected in Nepal,1600000,Nearly 1.6 million; NDRRMA estimate
Houses destroyed in Nepal,8317,Article damage section
Agricultural land damaged (ha),1806,Article damage section
Estimated Nepal damage (NPR),400000000000,Preliminary government estimate; over NPR 400 billion
Estimated China damage (CNY),450000000,Insurance firms estimate
Source URL,https://en.wikipedia.org/wiki/2026_Nepal%E2%80%93Tibet_floods,Retrieved 2026-09-21
