date,event,location,details,deaths,missing,rescued,injured,source
2026-08-26,Flood begins,Nepal-Tibet border,Flash floods and debris flows strike after suspected glacier collapse.,Not reported,Not reported,Not reported,Not reported,source_1
2026-08-26,Seismic event,Near Langtang Lirung,Ms 5.2 seismic signal associated with the collapse.,Not reported,Not reported,Not reported,Not reported,source_1
2026-08-26,Gyirong Port destroyed,Gyirong Port / Rasuwagadhi,Floodwater destroys the border crossing shortly after the seismic event.,Not reported,Not reported,Not reported,Not reported,source_1
2026-08-27,Barrier lake warning,Tibet,Chinese authorities warn of a barrier lake and possible breach.,Not reported,Not reported,Not reported,Not reported,source_1
2026-08-27,Official casualty update,Nepal,NDRRMA / Nepal Police (morning 27 Aug),165,826,Not reported,73,source_2
2026-08-28,Barrier lake overflow,Tibet,One lake overflows slightly; rescue operations briefly paused.,Not reported,Not reported,Not reported,Not reported,source_1
2026-08-30,Lake largely drained,Tibet,Barrier lake reported largely empty; additional flood warnings issued.,Not reported,Not reported,Not reported,Not reported,source_1
2026-09-01,Body identification update,Nepal,Ministry of Health reported only about 4% of roughly 900 bodies found had been identified.,Not reported,Not reported,Not reported,Not reported,source_1
2026-09-02,Affected population estimate,Nepal,NDRRMA reported nearly 1.6 million people affected.,Not reported,Not reported,Not reported,Not reported,source_1
2026-09-05,Official casualty update,Nepal,Authorities cited by IOM,1331,4896,13101,59,source_2
2026-09-10,Official casualty update,Nepal,SitRep 3 as of 10 Sep,1356,4894,13396,Not reported,source_2
2026-09-16,Tibet casualty update,Tibet,43 deaths and 519 missing reported.,Not reported,Not reported,Not reported,Not reported,source_1
2026-09-17,Official casualty update,Nepal,NDRRMA evening 17 Sep,1410,6145,13756,Not reported,source_2
2026-09-18,Nepal casualty update,Nepal,"1,410 deaths, 9,287 injured, 6,145 missing reported.",Not reported,Not reported,Not reported,Not reported,source_1
2026-09-20,Official casualty update,Nepal,NDRRMA 19:00 / Nepal Police,1451,5786,13784,Not reported,source_2
