date,event,location,details
2026-08-26,Flood begins,Nepal–Tibet border,Flash floods and debris flows strike after suspected glacier collapse.
2026-08-26,Seismic event,Near Langtang Lirung,Ms 5.2 seismic signal associated with the collapse.
2026-08-26,Gyirong Port destroyed,Gyirong Port / Rasuwagadhi,Floodwater destroys the border crossing shortly after the seismic event.
2026-08-27,Barrier lake warning,Tibet,Chinese authorities warn of a barrier lake and possible breach.
2026-08-28,Barrier lake overflow,Tibet,One lake overflows slightly; rescue operations briefly paused.
2026-08-30,Lake largely drained,Tibet,Barrier lake reported largely empty; additional flood warnings issued.
2026-09-01,Body identification update,Nepal,Ministry of Health reported only about 4% of roughly 900 bodies found had been identified.
2026-09-02,Affected population estimate,Nepal,NDRRMA reported nearly 1.6 million people affected.
2026-09-16,Tibet casualty update,Tibet,43 deaths and 519 missing reported.
2026-09-18,Nepal casualty update,Nepal,"1,410 deaths, 9,287 injured, 6,145 missing reported."
